"user_id","transactions_count","distinct_servers_count","transactions_size_mean","transactions_geodesic_distance_mean","transactions_iat_mean"
12,23,1,98328,6877,90195
37,1,1,630,6877,2419200
39,64,11,833356,6877,36385
51,1,1,6466,0,2419200
55,2,1,65913,0,58581
63,2,2,294,6877,1003873
80,1,1,286,6877,2419200
86,49,13,4959,6737,11143
93,3,2,141875,2292,82499
107,13,2,5515012,5819,160065
120,4,1,283572,0,524041
131,461,254,71792,13265,5040
148,2,1,68051,0,74
152,7,1,151411,0,230697
153,3648,2155,352,8475,640
174,4,2,692,6877,467725
185,20,1,585283,6877,108041
201,2,2,301,10825,0
202,1,1,174,6877,2419200
216,1,1,19733,0,2419200
220,54709,21590,1858,9266,34
222,23,3,195340,6877,68311
242,147280,46912,532,8573,14
243,556,495,785,8293,24
251,1,1,55822,0,2419200
296,89,6,347714,6877,25413
304,27,1,39370,6877,83443
311,1,1,21164,0,2419200
312,11,6,967,6877,153979
315,8,1,299307,0,239825
333,370,273,739,8704,1716
346,2064,902,645,8243,1176
350,10,1,928,0,0
367,4,1,278125,8531,28682
371,718,311,699,7399,4
375,1,1,225,0,2419200
376,4,2,310362,5158,15891
391,571,162,4288,6393,3545
399,1,1,40389,0,2419200
401,1,1,2428,0,2419200
423,1,1,168,6877,2419200
439,2,2,46524,6877,1211016
443,4993,337,361,7230,11
447,1,1,649172,0,2419200
448,4,1,61186,0,434617
453,132728,43167,3123,8571,9
456,9,1,1805407,0,229341
464,11,1,120202,0,18499
478,10,3,215334,6877,217270
479,3,1,48757,6877,316083
491,2,2,18466,0,82016
498,4996,306,385,7119,450
503,15,1,334327,0,125755
508,9,1,5802038,6877,174358
530,6,1,324,0,56128
531,1,1,3115,6877,2419200
539,5,1,6070,6877,70179
557,352,81,355,6887,262
558,1,1,52033,0,2419200
560,4,3,453,6877,95513
563,219,118,588,7860,732
573,1,1,68889,6877,2419200
604,1,1,33003,6877,2419200
607,45,1,10851198,6877,16430
609,1,1,1993090,0,2419200
615,5,1,29039,8531,311560
628,51653,21013,3010,8536,44
629,61,12,56795,7441,17144
638,3,1,105310,6877,601381
662,19309,9196,522,8336,38
666,247,154,652,7331,24
681,8194,4839,1329,8662,27
693,631,289,16891,6946,1637
696,2,1,4484788,6877,1040436
706,1,1,1543515,0,2419200
708,1,1,503448,0,2419200
709,115148,24326,898,8309,4
758,1,1,222,0,2419200
771,7531,3358,10499,7885,142
800,1,1,1264,6877,2419200
809,51818,11937,616,8442,18
820,35,1,308797,0,62289
843,44556,18711,3002,8531,52
856,8,2,3340,0,119816
860,3,1,33865,0,108018
881,10,3,1292041,6877,225980
893,1,1,4221694,6877,2419200
899,5,2,749986,6877,305950
903,3,3,1725,6877,153524
905,25,1,538232,6877,80054
907,8,3,1081781,6877,276026
909,1518,701,910,8898,35
914,7,1,548,6877,284092
918,103,2,157659,6877,11711
928,1,1,4439128,6877,2419200
934,10,1,180285,0,188983
939,1,1,5222,6877,2419200
941,18198,8352,483,8168,22
942,5,4,12873,4126,299846
961,56,3,291456,6754,39030
963,2459,2005,961,8381,3
965,3,1,12440314,6877,14155
969,23470,11637,1400,8607,22
972,2,1,56238,0,336195
989,225,15,2147,6877,10353
994,1,1,6854343,0,2419200
1014,2,1,16781,0,106836
1018,41609,17978,3240,8532,55
1025,272,197,568,8339,26
1028,262,53,528,7062,5287
1033,93,1,336,6877,305
1035,6629,2080,1061,9493,329
1055,5,2,10362,0,466623
1057,5,1,1412,0,408774
1092,5,1,2560427,0,347071
1099,3,1,3090978,0,16661
1100,1,1,4088629,6877,2419200
1105,8,2,544946,0,188883
1120,1,1,58122,0,2419200
1129,1,1,39919,0,2419200
1141,457,15,1365,6877,4783
1145,12,2,243780,6877,171719
1156,56610,23116,2829,8662,40
1167,6546,2485,1599,5622,360
1205,46,4,2108,7264,48662
1226,326,3,289485,6877,7239
1237,1284,189,952,7203,1162
1242,2,2,82130,0,797994
1247,1,1,3780593,0,2419200
1249,60580,23750,2556,8920,37
1264,1048,356,523,7393,2138
1265,637,555,3116,8340,184
1272,611,118,680,7021,3386
1277,12706,6951,4465,8642,182
1280,19977,6851,875,8317,55
1284,22,16,198,9497,79325
1285,39498,11383,780,8227,58
1287,41461,18312,3126,8589,50
1336,48781,20557,1760,8664,47
1358,23877,11293,4198,10300,65
1376,206,140,3500,3594,2768
1394,3,1,48854,0,341631
1417,8,2,107522,3439,175699
1419,38939,8661,368,7644,54
1435,20,2,746698,0,117651
1438,1525,928,1029,8647,1615
1450,1,1,9186,0,2419200
1451,1166,353,420,7476,1571
1467,558,524,1161,8505,1
1469,25609,3676,438,7517,67
1471,31200,14130,3401,8547,76
1473,20,1,1541802,0,105081
1484,1,1,13298,0,2419200
1487,2,1,39664,6877,28773
1493,1,1,8426,6877,2419200
1521,29,4,1775018,6403,77254
1551,15186,7874,2454,8658,77
1560,11,2,15845,1250,37258
1600,4,4,410,6877,129177
1612,4,1,643715,6877,547572
1675,63789,26112,1269,8719,34
1677,2,1,46788,0,730
1681,3,1,10867,6877,747007
1682,4,1,1584629,6877,524752
1686,6,2,1376213,0,116445
1691,4,1,461317,6877,448975
1694,1,1,168,6877,2419200
1716,1,1,521582,6877,2419200
1720,2,1,419,6877,3978
1736,2,1,12752,0,93499
1743,1,1,407516,0,2419200
1752,2,1,10974,0,310803
1764,2,2,1015,6877,650393
1774,77140,29098,513,8575,29
1778,1,1,416,6877,2419200
1786,753,62,690,6877,3229
1794,1,1,4104,0,2419200
1801,22467,892,350,6932,76
1802,4,1,733,6877,447291
1812,1,1,83399,0,2419200
1827,4881,2490,1153,8822,472
1838,4,1,935971,6877,153017
1847,7955,986,445,7154,145
1848,19,1,409807,6877,91008
1885,1,1,143437,0,2419200
1892,29405,5037,619,9925,53
1902,1,1,4470,0,2419200
1918,27224,11940,2548,8842,31
1948,432,13,938,6877,5207
1951,1,1,9711,0,2419200
1955,5,1,259331,0,242413
1958,1,1,8965,0,2419200
1961,63,38,378,6877,2222
2006,24,1,416601,0,83713
2009,1,1,3317,6877,2419200
2015,87,1,2040,6877,2252
2033,215,1,2044,0,10463
2034,36,29,630,2313,2370
2038,4,1,2069,6877,22
2045,3,1,123107,0,400312
2054,6,3,2151705,0,333484
2075,31895,14521,547,8485,66
2089,35957,19947,3158,9373,64
2090,1,1,32809336,0,2419200
2106,7,1,40137,0,276951
2138,2,1,5095,6877,454903
2145,3618,1571,17513,7844,110
2147,1512,131,588,6960,1589
2154,5,2,803900,0,176885
2155,2,1,144130,6877,772
2156,24729,1226,340,6909,92
2159,2,1,90489,0,86860
2160,111,18,711188,1060,19886
2166,35328,2882,416,8358,69
2176,1,1,6569,6877,2419200
2180,24,1,283,6877,82370
2192,22,3,417197,6877,90943
2193,2,1,29416,0,156103
2201,15935,8522,4385,8659,137
2210,1,1,5326,6877,2419200
2222,53,1,866842,6877,35737
2236,1,1,2045408,0,2419200
2255,9,7,424,6877,19121
2258,3,1,653824,6877,72380
2272,1,1,1337,2439,2419200
2295,1,1,315780,6877,2419200
2296,1,1,57371,0,2419200
2297,301,1,2050,6877,652
2306,2,2,633,6877,357779
2310,2,2,2324,0,597745
2311,316,251,2211,10245,3
2312,101,94,4012,8412,3
2314,25,1,3879,6877,86687
2316,9,1,3828343,6877,184871
2318,107,2,468,64,12090
2320,36935,15461,510,8318,28
2321,1442,1234,1031,8522,786
2332,7,2,419,6877,4442
2335,9,2,29550,0,201225
2348,1,1,2215,6877,2419200
2368,227,133,1772,3823,10193
2381,49,1,686,6877,38775
2383,4921,2394,1097,8000,73
2389,1,1,1294,0,2419200
2392,197,174,610,8315,1183
2394,1,1,7698,6877,2419200
2398,1,1,71084,6877,2419200
2406,4888,800,14161,748,475
2417,2,1,42076,6877,346469
2426,470,390,943,8746,751
2450,3,1,1238772,0,46207
2456,1,1,11490,0,2419200
2461,25,13,390,6877,7750
2477,1,1,988778,6877,2419200
2479,4377,1836,5461,8184,509
2490,2,1,1970,6877,236370
2498,18037,9451,3633,8706,134
2526,5,2,17718,6877,53467
2527,37286,1113,363,7104,57
2542,17,1,481,0,645
2545,9,4,4912337,5349,95404
2546,1,1,4187,6877,2419200
2548,6,4,30631,6877,188187
2550,2,1,16257,0,61500
2554,37731,16701,3573,8551,54
2573,9,1,803570,0,242045
2581,4,2,115637,0,371842
2582,136,2,190488,0,16007
