@relation 'CS_DOMINGO_TRN-weka.filters.unsupervised.attribute.NumericToNominal-R2-10,20-22,43'

@attribute DURATION_MAX numeric
@attribute STARTHOUR_1 {0,1}
@attribute STARTHOUR_2 {0,1}
@attribute STARTHOUR_3 {0,1}
@attribute STARTHOUR_4 {0,1}
@attribute STARTHOUR_5 {0,1}
@attribute STARTHOUR_6 {0,1}
@attribute TURNO_1 {0,1}
@attribute TURNO_2 {0,1}
@attribute TURNO_3 {0,1}
@attribute DURATION numeric
@attribute CCOUNT numeric
@attribute CMINPRICE numeric
@attribute CMAXPRICE numeric
@attribute CSUMPRICE numeric
@attribute BCOUNT numeric
@attribute BMINPRICE numeric
@attribute BMAXPRICE numeric
@attribute BSUMPRICE numeric
@attribute BSTEP {0.375,0.5,0.625,0.75,0.875,1}
@attribute ONLINESTATUS_1 {0,1}
@attribute AVAILABILITY_1 {0,1}
@attribute QTD_SESSION numeric
@attribute MIN_STARTHOUR numeric
@attribute MIN_CCOUNT numeric
@attribute MAX_CCOUNT numeric
@attribute MIN_CMAXPRICE numeric
@attribute MAX_CMAXPRICE numeric
@attribute MIN_CMINPRICE numeric
@attribute MAX_CMINPRICE numeric
@attribute MIN_CSUMPRICE numeric
@attribute MAX_CSUMPRICE numeric
@attribute MIN_BCOUNT numeric
@attribute MAX_BCOUNT numeric
@attribute MIN_BMINPRICE numeric
@attribute MAX_BMINPRICE numeric
@attribute MIN_BMAXPRICE numeric
@attribute MAX_BMAXPRICE numeric
@attribute MIN_BSUMPRICE numeric
@attribute MAX_BSUMPRICE numeric
@attribute MIN_BSTEP numeric
@attribute MAX_BSTEP numeric
@attribute CLASSE_1 {0,1}

@data
0.606022,1,1,0,0,1,0,0,1,0,0.606022,1,0.445,0.381993,0.770988,1,0.425,0.4,0.863235,0.625,0,1,0.982143,0.458333,0.475,1,0.39939,0.380282,0.470238,0.426471,0.376351,0.771712,0,1,0.438636,0.407353,0.420455,0.397727,0.420455,0.753995,0,0.5,0
0.489234,1,1,0,0,1,0,0,1,0,0.489234,0.525,0.345,0.469406,0.534259,0.75,0.353571,0.525,0.675,1,0,0,0.767857,0.458333,0.375,0.525,0.533537,0.46831,0.35119,0.588235,0.435811,0.533809,0,0.75,0.347727,0.536765,0.587121,0.511364,0.587121,0.607877,0,0.6875,1
0.515693,1,0,0,1,0,1,1,0,0,0.515693,0.391667,0.345,0.373252,0.365432,0.75,0.353571,0.3875,0.432353,0.625,0,0,0.839286,0.708333,0.325,0.391667,0.396341,0.371479,0.35119,0.422794,0.358108,0.364144,0,0.75,0.347727,0.404412,0.416667,0.386364,0.416667,0.419521,0,0.5,0
0.356752,1,1,0,0,0,1,0,1,0,0.356752,0.341667,0.36,0.341783,0.346296,0.375,0.364286,0.3425,0.341176,1,0,0,0.446429,0.416667,0.325,0.341667,0.341463,0.339789,0.369048,0.356618,0.345946,0.344913,0,0.375,0.361364,0.351471,0.348485,0.345455,0.348485,0.348744,0,0.6875,0
0.349635,1,0,1,0,1,0,1,0,0,0.349635,0.325,0.325,0.329545,0.344136,0.25,0.339286,0.325,0.330882,0.5,0,1,0.375,0.541667,0.275,0.341667,0.320122,0.485915,0.327381,0.661765,0.341216,0.370658,0,0.375,0.329545,0.595588,0.32197,0.534091,0.32197,0.443493,0,0.4375,0
0.40292,0,1,1,1,0,0,0,1,0,0.40292,0.441667,0.425,0.381993,0.395062,0.5,0.410714,0.4,0.404412,0.5,0,0,0.410714,0.291667,0.425,0.441667,0.381098,0.380282,0.446429,0.404412,0.381757,0.393921,0,0.5,0.420455,0.389706,0.397727,0.397727,0.397727,0.397831,0,0.4375,0
0.942336,1,0,0,1,0,1,1,0,0,0.942336,0.408333,0.425,0.399476,0.382716,0.625,0.410714,0.375,0.419118,0.375,0,0,0.553571,0.708333,0.425,0.408333,0.442073,0.397887,0.446429,0.404412,0.398649,0.381514,0,0.625,0.420455,0.389706,0.397727,0.375,0.397727,0.409247,0,0.5,1
0.455474,0,1,0,1,0,1,0,0,1,0.455474,0.591667,0.36,0.381993,0.439198,0.875,0.364286,0.4,0.480882,0.375,0,0,0.589286,0.208333,0.475,0.591667,0.341463,0.380282,0.369048,0.356618,0.360135,0.438275,0,0.875,0.361364,0.351471,0.348485,0.397727,0.348485,0.457192,0,0.625,1
0.398905,1,0,1,1,0,0,1,0,0,0.398905,0.525,0.45,0.373252,0.367284,0.375,0.428571,0.3875,0.367647,0.5,0,0,0.375,0.625,0.425,0.525,0.396341,0.371479,0.47619,0.422794,0.375,0.366005,0,0.375,0.443182,0.404412,0.416667,0.386364,0.416667,0.369292,0,0.4375,0
0.549088,1,0,1,0,1,0,1,0,0,0.549088,0.458333,0.395,0.381993,0.395988,0.75,0.389286,0.4,0.454412,1,0,0,1,0.541667,0.375,0.458333,0.362805,0.380282,0.410714,0.382353,0.360135,0.394851,0,0.75,0.393182,0.372059,0.375,0.397727,0.375,0.436644,0,0.6875,1
