@relation 'CS_DOMINGO_TST-weka.filters.unsupervised.attribute.NumericToNominal-R2-10,20-22,43'

@attribute DURATION_MAX numeric
@attribute STARTHOUR_1 {0,1}
@attribute STARTHOUR_2 {0,1}
@attribute STARTHOUR_3 {0,1}
@attribute STARTHOUR_4 {0,1}
@attribute STARTHOUR_5 {0,1}
@attribute STARTHOUR_6 {0,1}
@attribute TURNO_1 {0,1}
@attribute TURNO_2 {0,1}
@attribute TURNO_3 {0,1}
@attribute DURATION numeric
@attribute CCOUNT numeric
@attribute CMINPRICE numeric
@attribute CMAXPRICE numeric
@attribute CSUMPRICE numeric
@attribute BCOUNT numeric
@attribute BMINPRICE numeric
@attribute BMAXPRICE numeric
@attribute BSUMPRICE numeric
@attribute BSTEP {0.375,0.5,0.625,0.75,0.875,1}
@attribute ONLINESTATUS_1 {0,1}
@attribute AVAILABILITY_1 {0,1}
@attribute QTD_SESSION numeric
@attribute MIN_STARTHOUR numeric
@attribute MIN_CCOUNT numeric
@attribute MAX_CCOUNT numeric
@attribute MIN_CMAXPRICE numeric
@attribute MAX_CMAXPRICE numeric
@attribute MIN_CMINPRICE numeric
@attribute MAX_CMINPRICE numeric
@attribute MIN_CSUMPRICE numeric
@attribute MAX_CSUMPRICE numeric
@attribute MIN_BCOUNT numeric
@attribute MAX_BCOUNT numeric
@attribute MIN_BMINPRICE numeric
@attribute MAX_BMINPRICE numeric
@attribute MIN_BMAXPRICE numeric
@attribute MAX_BMAXPRICE numeric
@attribute MIN_BSUMPRICE numeric
@attribute MAX_BSUMPRICE numeric
@attribute MIN_BSTEP numeric
@attribute MAX_BSTEP numeric
@attribute CLASSE_1 {0,1}

@data
0.484672,1,1,0,0,1,0,0,1,0,0.484672,0.358333,0.925,0.539336,0.41821,0.375,0.767857,0.625,0.507353,1,0,0,0.482143,0.458333,0.375,0.358333,0.685976,0.538732,1,0.772059,0.503378,0.417184,0,0.375,0.875,0.683824,0.776515,0.602273,0.776515,0.47774,0,0.6875,1
0.411496,1,1,0,1,0,0,1,0,0,0.411496,0.425,0.39,0.352273,0.35216,0.375,0.385714,0.3575,0.35,1,0,0,0.660714,0.5,0.575,0.425,0.359756,0.350352,0.404762,0.378676,0.358784,0.350806,0,0.375,0.388636,0.369118,0.371212,0.359091,0.371212,0.355594,0,0.6875,1
0.590511,1,0,0,0,1,1,0,1,0,0.590511,0.908333,0.345,0.38549,0.467901,1,0.353571,0.405,0.479412,0.375,0,0,0.946429,0.333333,0.775,0.908333,0.371951,0.383803,0.35119,0.367647,0.393243,0.467122,0,1,0.347727,0.360294,0.359848,0.402273,0.359848,0.45605,0,0.625,1
0.358759,1,0,0,1,0,1,1,0,0,0.358759,0.425,0.45,0.373252,0.390432,0.375,0.428571,0.3875,0.367647,0.625,0,0,0.375,0.708333,0.575,0.425,0.396341,0.371479,0.47619,0.422794,0.442568,0.389268,0,0.375,0.443182,0.404412,0.416667,0.386364,0.416667,0.369292,0,0.5,0
1,1,0,1,0,0,1,0,1,0,1,0.775,0.35,0.373252,0.448457,0.375,0.375,0.35,0.345588,0.375,1,1,0.339286,0.375,1,0.775,0.396341,0.371479,0.357143,0.349265,0.569595,0.447581,0,0.375,0.375,0.360294,0.359848,0.352273,0.359848,0.352169,0,0.375,0
0.720073,1,1,1,0,0,0,1,0,0,0.720073,0.608333,0.375,0.504371,0.503086,0.375,0.375,0.35,0.345588,1,0,0,0.625,0.666667,0.575,0.608333,0.396341,0.503521,0.386905,0.367647,0.394595,0.502481,0,0.375,0.375,0.360294,0.359848,0.352273,0.359848,0.352169,0,0.6875,1
0.435584,1,0,1,0,0,1,0,1,0,0.435584,0.491667,0.375,0.347028,0.375,0.625,0.375,0.35,0.375,1,0,0,0.625,0.375,0.475,0.491667,0.35061,0.34507,0.386905,0.367647,0.368243,0.373759,0,0.625,0.375,0.360294,0.359848,0.352273,0.359848,0.375,0,0.6875,1
0.706022,1,0,1,1,0,0,1,0,0,0.706022,0.675,0.345,0.36451,0.425,1,0.353571,0.375,0.466176,1,0,0,0.803571,0.625,0.425,0.675,0.35061,0.362676,0.35119,0.367647,0.361486,0.424007,0,1,0.347727,0.360294,0.359848,0.375,0.359848,0.445776,0,0.6875,1
0.355292,1,1,0,1,0,0,1,0,0,0.355292,0.358333,0.44,0.369755,0.358333,0.375,0.421429,0.3825,0.364706,0.375,1,1,0.339286,0.5,0.375,0.358333,0.390244,0.367958,0.464286,0.415441,0.372297,0.35701,0,0.375,0.434091,0.398529,0.409091,0.381818,0.409091,0.367009,0,0.375,0
0.366241,1,1,0,0,0,1,0,1,0,0.366241,0.391667,0.425,0.36451,0.368827,0.5,0.410714,0.375,0.389706,0.375,1,1,0.375,0.416667,0.375,0.391667,0.381098,0.362676,0.446429,0.404412,0.368243,0.367556,0,0.5,0.420455,0.389706,0.397727,0.375,0.397727,0.386416,0,0.375,0
0.979197,1,1,0,0,1,0,0,1,0,0.979197,1,0.375,0.422203,0.503086,1,0.375,0.42,0.630882,1,0,0,0.910714,0.458333,0.425,1,0.375,0.420775,0.386905,0.397059,0.365541,0.502481,0,1,0.375,0.383824,0.390152,0.415909,0.390152,0.57363,0,0.6875,1
0.550182,0,0,1,0,1,1,0,0,1,0.550182,0.491667,1,1,1,0.375,1,1,1,0.5,0,0,0.660714,0.083333,0.775,0.491667,1,1,1,1,1,1,0,0.375,1,1,1,1,1,1,0,0.625,0
0.349635,1,1,0,0,0,1,0,1,0,0.349635,0.341667,0.675,0.451923,0.365741,0.375,0.589286,0.5,0.433824,0.375,1,1,0.339286,0.416667,0.325,0.341667,0.533537,0.450704,0.744048,0.588235,0.388514,0.364454,0,0.375,0.647727,0.536765,0.587121,0.488636,0.587121,0.420662,0,0.375,0
1,1,1,0,1,0,0,1,0,0,1,1,0.355,0.766608,0.895679,1,0.385714,0.425,0.576471,0.5,0,0,0.732143,0.5,0.725,1,0.359756,0.767606,0.363095,0.378676,0.411486,0.897022,0,1,0.388636,0.369118,0.371212,0.420455,0.371212,0.531393,0,0.4375,0
0.354745,1,0,0,1,1,0,1,0,0,0.354745,0.358333,1,1,0.529321,0.5,1,1,1,0.375,1,1,0.375,0.583333,0.325,0.358333,0.320122,1,0.327381,1,0.341216,0.528846,0,0.5,0.329545,1,0.32197,1,0.32197,1,0,0.375,0
0.549088,1,1,0,0,0,1,0,1,0,0.549088,0.708333,0.33,0.854021,0.649383,0.875,0.4,0.45,0.605882,0.375,1,1,0.482143,0.416667,0.375,0.708333,0.472561,0.855634,0.333333,0.514706,0.408784,0.649504,0,0.875,0.406818,0.477941,0.511364,0.443182,0.511364,0.554224,0,0.375,0
0.399453,1,0,1,0,0,1,0,1,0,0.399453,0.458333,0.355,0.434441,0.410802,0.375,0.410714,0.375,0.360294,0.375,1,1,0.339286,0.375,0.675,0.458333,0.503049,0.433099,0.363095,0.352941,0.487162,0.409739,0,0.375,0.420455,0.389706,0.397727,0.375,0.397727,0.363584,0,0.375,0
0.684124,1,0,0,1,0,1,1,0,0,0.684124,0.908333,0.35,0.55507,0.801852,1,0.360714,0.4875,0.605882,0.5,0,0,0.625,0.708333,0.375,0.908333,0.411585,0.554577,0.357143,0.441176,0.381757,0.80273,0,1,0.356818,0.419118,0.435606,0.477273,0.435606,0.554224,0,0.5,0
0.668978,1,0,1,0,1,0,1,0,0,0.668978,0.825,0.345,0.731643,0.51142,1,0.353571,0.3825,0.483824,1,0,0,0.875,0.541667,0.425,0.825,0.332317,0.732394,0.35119,0.345588,0.346622,0.510856,0,1,0.347727,0.342647,0.337121,0.381818,0.337121,0.459475,0,0.6875,1
0.451825,1,1,0,1,0,0,1,0,0,0.451825,0.375,0.395,0.354021,0.352778,0.375,0.389286,0.36,0.351471,1,0,0,0.553571,0.5,0.425,0.375,0.362805,0.352113,0.410714,0.382353,0.360135,0.351427,0,0.375,0.393182,0.372059,0.375,0.361364,0.375,0.356735,0,0.6875,1
0.583577,0,1,1,0,1,0,0,1,0,0.583577,0.925,0.36,0.399476,0.514198,0.75,0.410714,0.425,0.485294,1,0,0,1,0.25,0.475,0.925,0.396341,0.397887,0.369048,0.422794,0.375,0.513648,0,0.75,0.420455,0.404412,0.416667,0.420455,0.416667,0.460616,0,0.6875,1
0.525912,1,1,1,0,0,0,1,0,0,0.525912,0.491667,0.51,0.434441,0.458642,0.5,0.471429,0.45,0.458824,0.625,0,0,0.696429,0.666667,0.475,0.491667,0.432927,0.433099,0.547619,0.466912,0.391216,0.457816,0,0.5,0.497727,0.439706,0.462121,0.443182,0.462121,0.440068,0,0.5,0
0.40438,1,0,0,1,0,1,1,0,0,0.40438,0.458333,0.39,0.36451,0.380556,0.375,0.410714,0.375,0.360294,0.375,1,1,0.339286,0.708333,0.675,0.458333,0.381098,0.362676,0.404762,0.378676,0.420946,0.379342,0,0.375,0.420455,0.389706,0.397727,0.375,0.397727,0.363584,0,0.375,0
0.42646,1,0,0,1,1,0,1,0,0,0.42646,0.441667,0.375,0.399476,0.395679,0.5,0.375,0.425,0.404412,0.5,0,0,0.482143,0.583333,0.425,0.441667,0.442073,0.397887,0.386905,0.477941,0.422297,0.394541,0,0.5,0.375,0.448529,0.473485,0.420455,0.473485,0.397831,0,0.5,0
0.49854,1,0,0,1,1,0,1,0,0,0.49854,0.425,0.525,0.434441,0.430556,0.375,0.553571,0.475,0.419118,0.625,0,0,0.553571,0.583333,0.575,0.425,0.503049,0.433099,0.565476,0.477941,0.530405,0.429591,0,0.375,0.602273,0.507353,0.549242,0.465909,0.549242,0.409247,0,0.5,0
0.836496,1,1,0,0,0,1,0,1,0,0.836496,0.425,1,0.626748,0.646605,0.375,0.910714,0.725,0.566176,0.375,1,1,0.339286,0.416667,0.575,0.425,0.838415,0.626761,1,0.919118,1,0.646712,0,0.375,1,0.801471,0.92803,0.693182,0.92803,0.523402,0,0.375,0
